STN_NAM_DE,lat,lon
ESPLANADE MRT STATION,1.2932599005110816,103.85561173051623
PAYA LEBAR MRT STATION,1.3173694012363306,103.89227219451108
DHOBY GHAUT MRT STATION,1.2990442030454223,103.8458331610417
DAKOTA MRT STATION,1.3083751548578983,103.88866829961988
LAVENDER MRT STATION,1.3073717305401726,103.86283780137067
RENJONG LRT STATION,1.3867475130805276,103.8904287884913
DOVER MRT STATION,1.3113946902694622,103.77864915497852
HOUGANG MRT STATION,1.3712811748310318,103.89234753417199
PHOENIX LRT STATION,1.3786249494438885,103.7580336231313
ALJUNIED MRT STATION,1.3164324728309895,103.88290604346119
COVE LRT STATION,1.3993617069210023,103.90591744003868
PASIR RIS MRT STATION,1.372951874838454,103.9492576380466
ADMIRALTY MRT STATION,1.4405870899071695,103.80097700881026
KEMBANGAN MRT STATION,1.3210380679728027,103.91294752764095
PUNGGOL POINT LRT STATION,1.41691085274144,103.90653551146728
MARSILING MRT STATION,1.4325651687522347,103.77419400271717
COMPASSVALE LRT STATION,1.3944787835084709,103.90055527769678
KHATIB MRT STATION,1.4175768086974465,103.83303805988021
LAYAR LRT STATION,1.3920928723391566,103.88015787540466
TAMPINES WEST MRT STATION,1.34551750723051,103.93842947035631
TAMPINES MRT STATION,1.3532891915288594,103.94515900793745
TAMPINES EAST MRT STATION,1.3562130024622965,103.95480497241815
TAI SENG MRT STATION,1.3354531036164103,103.88816447585148
TAI SENG FACILITY BUILDING,1.3421829604254403,103.89520334122041
SUMANG LRT STATION,1.4083532967338412,103.89851028688162
SUB STATION,1.334444044782844,103.96375092204562
STEVENS MRT STATION,1.3200659546015552,103.82602302626412
STADIUM MRT STATION,1.3028541000200191,103.8753479636843
SIXTH AVENUE MRT STATION,1.3307848579079669,103.79732046051102
SOUTH VIEW LRT STATION,1.3802982861094408,103.74529179987564
SOO TECK LRT STATION,1.4052096471263997,103.8972344083142
SOMERSET MRT STATION,1.3002576152123915,103.839075428181
SIMEI MRT STATION,1.3431974386722225,103.9533771187526
SERANGOON MRT STATION,1.3496172242889009,103.87363463484908
SERANGOON MRT STATION,1.3505310712474266,103.87246307208419
SENGKANG MRT STATION,1.39152768192613,103.89541608068801
BRADDELL MRT STATION,1.3404441145040584,103.84679989894848
NOVENA MRT STATION,1.320430081558181,103.8438181306479
FARRER PARK MRT STATION,1.3124482282682042,103.85427015820119
BEDOK MRT STATION,1.3240113190796488,103.93017252024234
REDHILL MRT STATION,1.289619539360249,103.81679002798292
CHANGI AIRPORT MRT STATION,1.3573079311156087,103.988370580773
CORAL EDGE LRT STATION,1.3939263506091426,103.91256353501424
CLEMENTI MRT STATION,1.315078227075958,103.76523302866741
BUKIT BATOK MRT STATION,1.3489966464287526,103.74954065595492
OASIS LRT STATION,1.4023508796763517,103.9126318518065
NIBONG LRT STATION,1.4117555857490138,103.90029894815675
MERIDIAN LRT STATION,1.3968523392134025,103.90899093849958
BUKIT GOMBAK MRT STATION,1.3586719216766776,103.75191010909083
EUNOS MRT STATION,1.3197792314619146,103.90336181829896
CHINESE GARDEN MRT STATION,1.3421449757273656,103.73281439469635
KADALOOR LRT STATION,1.3996385097348187,103.91639497899564
CHENG LIM LRT STATION,1.3962489159137625,103.89390790820732
SAM KEE LRT STATION,1.4096137635650092,103.90483111328929
KRANJI MRT STATION,1.4252396285345745,103.76218063429437
ANG MO KIO MRT STATION,1.3699486592449512,103.8496163530278
RIVIERA LRT STATION,1.3946364786519787,103.91622379031344
BUKIT PANJANG LRT DEPOT,1.3803143856273596,103.76012308582888
BANGKIT LRT STATION,1.3800154941538407,103.77266121898698
PASIR PANJANG MRT STATION,1.2762296704620824,103.79134196584099
HOLLAND VILLAGE MRT STATION,1.3119456176539683,103.79623333607995
LABRADOR PARK MRT STATION,1.272323494172133,103.80292770509465
BOTANIC GARDENS MRT STATION,1.3221094924390127,103.81498942403134
ONE-NORTH MRT STATION,1.299656479750217,103.78739399263875
KENT RIDGE MRT STATION,1.2934009386348053,103.78449793839724
HAW PAR VILLA MRT STATION,1.2825029024252173,103.78182132877058
MARINA BAY MRT STATION,1.2759503532634144,103.85514511012478
KING ALBERT PARK MRT STATION,1.335638111478614,103.78387153218183
LITTLE INDIA MRT STATION,1.3071673593544857,103.84861049957483
ROCHOR MRT STATION,1.3039275604057883,103.85243888579355
SENJA LRT STATION,1.3826992420009616,103.76236875392893
MOUNTBATTEN MRT STATION,1.3061937871203504,103.88254701515265
ULU PANDAN DEPOT,1.3293220633925316,103.7601019140939
CHOA CHU KANG MRT STATION,1.38517205129643,103.74436906811253
BOON KENG MRT STATION,1.3194470899422934,103.86168108554399
BARTLEY MRT STATION,1.3428468441312822,103.87972518740428
SEGAR LRT STATION,1.3877564079090396,103.76965965369814
GALI BATU DEPOT,1.397585075725287,103.75609202250465
HILLVIEW MRT STATION,1.3623400897045508,103.76742925213813
BEAUTY WORLD MRT STATION,1.3412035629000165,103.77581897698836
HUME MRT STATION,1.354510835679601,103.7691039291349
BUKIT PANJANG MRT STATION,1.3791601966032672,103.76157274093427
CASHEW MRT STATION,1.3693615846907987,103.76469719067453
JOO KOON MRT STATION,1.3277168588523394,103.67838692895
YEW TEE MRT STATION,1.3975496332584143,103.74740209309829
YISHUN MRT STATION,1.4295817516063585,103.83497216242338
YIO CHU KANG MRT STATION,1.3817576070023976,103.84480082324343
WOODLEIGH MRT STATION,1.33920708742577,103.8708091900647
WOODLANDS MRT STATION,1.4368311610388318,103.78616372622344
UPPER CHANGI MRT STATION,1.341740478840542,103.96147329736628
TELOK AYER MRT STATION,1.2822805844652623,103.84831284867057
TONGKANG LRT STATION,1.3893387810090914,103.88593735851892
UBI MRT STATION,1.3299552646755695,103.89924886691833
TOA PAYOH MRT STATION,1.3326773929779798,103.84742121706205
TIONG BAHRU MRT STATION,1.2862197404059492,103.82703434069519
THANGGAM LRT STATION,1.3974369934812907,103.87565537180332
PROMENADE MRT STATION,1.2932501662614946,103.86099644334269
BRAS BASAH MRT STATION,1.2968267738263335,103.85065551126362
NICOLL HIGHWAY MRT STATION,1.299802830048816,103.863633137961
